Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
7819A	30649	BOEING	737-7Q8	Fixed Wing Multi-Engine	None	None	2002	Corporation	11/26/2014	11/30/2020	Turbo-fan	No	52513721	NO	CFM INTL	CFM56-7B24	07/08/2015	Standard	Transport	Yes
N101DA	42.125	DIAMOND AIRCRAFT IND GMBH	DA 42	Fixed Wing Multi-Engine	None	None	2006	Corporation	05/02/2007	09/30/2020	Reciprocating	No	50004267	NO	THIELERT	TAE-125-01	05/08/2006	Standard	Normal	No
N102DA	22214	BOEING	767-232	Fixed Wing Multi-Engine	None	None	1982	Corporation	03/21/1983	11/30/2019	Turbo-fan	No	50006156	NO	GE	CF6-80 SERIES	09/01/1982	Experimental	Exhibition	No
N102UW	0844	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1998	Corporation	05/26/1999	04/30/2020	Turbo-fan	No	50006771	NO	CFM INTL.	CFM56 SERIES	06/21/1999	Standard	Transport	No
N103DA	3086	AIRCRAFT SALES & PARTS LTD	SUMMIT II	Powered Parachute	None	None	2002	Individual	08/28/2007	04/30/2021	2 Cycle	No	50010045	NO	ROTAX	582SER	11/26/2007	Experimental	Reg. Prior to 01/31/08	No
N103SY	17000390	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	03/27/2014	03/31/2020	Turbo-fan	No	50010600	NO	GE	CF34-8E5	03/27/2014	Standard	Transport	Yes
N103US	0861	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	06/18/1999	07/31/2020	Turbo-fan	No	50010654	NO	CFM INTL.	CFM56 SERIES	06/25/1999	Standard	Transport	No
N104	104633	LOCKHEED	CF104D	Fixed Wing Single-Engine	None	None	1962	Corporation	08/20/1999	01/31/2021	Turbo-jet	No	50011617	NO	GE	JT79 SERIES	04/04/1997	Experimental	Exhibition	No
N104DA	9266	BOMBARDIER INC	BD-700-1A10	Fixed Wing Multi-Engine	None	None	2007	Corporation	04/08/2010	01/31/2020	Turbo-fan	No	50011734	NO	ROLLS DEUT	BR700-710A220	10/31/2007	Standard	Transport	Yes
N104UA	26902	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50012523	NO	P&W	PW4000 SER	01/22/1998	Standard	Transport	Yes
N104UW	0863	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	07/02/1999	11/30/2020	Turbo-fan	No	50012547	NO	CFM INTL.	CFM56 SERIES	08/30/1999	Standard	Transport	No
N10575	145640	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	02/23/2018	02/28/2021	Turbo-fan	No	50015262	NO	ROLLS-ROYC	AE 3007A1P	09/28/2002	Standard	Transport	Yes
N105DA	3010653	AIR TRACTOR INC	AT-301	Fixed Wing Single-Engine	None	None	1986	Corporation	04/09/2010	01/31/2020	Reciprocating	No	50013623	NO	AMA/EXPR	UNKNOWN ENG	04/14/2010	Restricted	Agriculture and Pest Control	No
N105SY	17000395	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	04/10/2014	04/30/2020	Turbo-fan	No	50014356	NO	GE	CF34-8E5	04/11/2014	Standard	Transport	Yes
N105UW	0868	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	07/22/1999	10/31/2020	Turbo-fan	No	50014436	NO	CFM INTL.	CFM56 SERIES	08/30/1999	Standard	Transport	No
N106DA	1050	ENSTROM HELICOPTER CORP	280C	Rotorcraft	None	None	1976	Corporation	03/26/2018	03/31/2021	Reciprocating	No	50015512	NO	LYCOMING	HIO-360-E1AD	04/28/2011	Standard	Normal	No
N106SY	17000399	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/08/2014	05/31/2020	Turbo-fan	No	50016245	NO	GE	CF34-8E5	05/09/2014	Standard	Transport	Yes
N107SY	17000400	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/15/2014	05/31/2020	Turbo-fan	No	50020134	NO	GE	CF34-8E5	05/16/2014	Standard	Transport	Yes
N107UA	26900	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50020170	NO	P&W	PW4000 SER	08/19/1998	Standard	Transport	Yes
N107US	1052	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50020210	NO	CFM INTL.	CFM56 SERIES	08/03/1999	Standard	Transport	No
N108SY	17000401	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/23/2014	05/31/2020	Turbo-fan	No	50022023	NO	GE	CF34-8E5	05/23/2014	Standard	Transport	Yes
N108UA	100/13	URBAN AIR SRO	UFM-13 LAMBADA	Glider	None	None	2007	Corporation	08/28/2018	08/31/2021	4 Cycle	No	50022057	NO	ROTAX	912UL2	01/13/2008	Light Sport	Glider	No
N108UW	1061	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50022103	NO	CFM INTL.	CFM56 SERIES	09/27/1999	Standard	Transport	No
N109DL	T18208636	CESSNA	T182T	Fixed Wing Single-Engine	None	None	2006	Corporation	02/10/2014	02/29/2020	Reciprocating	No	50023171	NO	LYCOMING	TIO-540-AK1A	10/13/2006	Standard	Normal	No
